arm,battery,prompt_id,family,attempt,success,verified_verdict,verified,success_final,excluded,false_pass,false_fail,outcome,end_reason,clean,wall_seconds,tokens_in,tokens_out,llm_calls,legs_planned,legs_completed,leg_files,steps,halt_requests,semantic_chars,requeues,leg_retries,actor_in,actor_out,actor_calls,semantic_in,semantic_out,semantic_calls,episodic_in,episodic_out,episodic_calls,perception_in,perception_out,perception_calls,guard_in,guard_out,guard_calls,findings_in,findings_out,findings_calls,resolver_in,resolver_out,resolver_calls,decomposer_in,decomposer_out,decomposer_calls,responder_in,responder_out,responder_calls
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_09,reasoning,2,1,pass,1,1,0,0,0,completed,halt_granted,1,4192.5,793818,52141,85,6,6,6,18,6,22206,0,0,211589,4146,18,325142,4006,24,93869,5715,18,112034,12374,103,3050,136,3,6947,15448,5,32927,5716,3,1602,2876,1,6658,1724,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_12,attribute,2,1,pass,1,1,0,0,0,completed,halt_granted,1,1218.4,507728,30131,60,3,3,3,13,4,21508,0,0,180845,3207,13,211660,4520,17,63459,4088,13,16724,2067,15,3826,218,3,2445,6097,2,21956,5283,2,1918,2431,1,4895,2220,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_12,attribute,1,0,,0,0,0,0,0,completed,halt_forced,1,2246.1,1227387,44255,113,3,1,3,27,7,26696,0,0,559643,7529,27,442105,8672,34,133380,9417,27,53959,6087,48,8386,540,6,1039,2954,1,21956,5001,2,1918,2321,1,5001,1734,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_14,counting,1,0,,0,0,0,0,0,agent_error,,0,1353.0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_11,attribute,1,0,fail,1,0,0,0,0,completed,time_cap,1,5193.0,4086021,73544,201,2,0,2,66,0,36421,0,0,2813250,18970,66,888689,13104,66,335259,23644,66,30254,9471,27,0,0,0,0,0,0,10984,4939,1,1598,1950,1,5987,1466,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_11,attribute,3,1,fail,1,0,0,1,0,completed,halt_granted,1,3057.3,2631008,68514,169,3,3,3,45,7,32369,0,0,1502568,12113,45,729941,12095,52,252158,16363,45,103361,12653,93,8307,609,7,4384,6302,2,21961,4689,2,1918,2075,1,6410,1615,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_15,attribute,2,1,pass,1,1,0,0,0,completed,halt_granted,1,362.1,58375,9791,14,2,2,2,1,2,17352,0,0,6784,226,1,32869,603,3,1271,281,1,0,0,0,1400,61,1,950,2798,1,10976,2221,1,1915,2062,1,2210,1539,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_15,attribute,1,0,pass,1,1,0,0,1,completed,halt_forced,1,601.1,127291,14119,29,2,1,3,1,7,17411,0,1,6789,241,1,91602,1938,8,1291,288,1,0,0,0,0,0,0,973,3022,1,21952,4000,2,1915,2637,1,2769,1993,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_15,attribute,3,1,pass,1,1,0,0,0,completed,halt_granted,1,393.7,105182,12418,20,2,2,2,3,2,18119,0,0,24054,872,3,56622,1022,5,6825,876,3,0,0,0,1402,80,1,951,3475,1,10976,1973,1,1915,2552,1,2437,1568,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_09,reasoning,3,0,invalid,1,0,1,0,0,harness_timeout,,0,7320.0,34529,8114,4,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32927,5258,3,1602,2856,1,0,0,0
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_10,reasoning,1,0,invalid,1,0,1,0,0,harness_timeout,,0,7320.8,23570,6080,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21953,3507,2,1617,2573,1,0,0,0
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_12,attribute,3,0,,0,0,1,0,0,operator_kill,already_successful,0,4274.9,3849271,70641,240,0,0,3,62,1,34872,0,3,2544132,19065,62,898002,13392,64,338561,25399,62,54601,6664,49,0,0,0,1080,3114,1,10977,1514,1,1918,1493,1,0,0,0
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_13,reasoning,2,0,,0,0,0,0,0,completed,time_cap,1,5237.4,7341702,92721,286,2,1,3,93,1,44440,0,1,5315575,28657,93,1489918,20827,94,496733,34309,93,20442,724,18,0,0,0,1011,3040,1,10983,1561,1,1942,2452,1,5098,1151,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_13,reasoning,3,0,,0,0,0,0,0,completed,time_cap,1,5510.5,4425566,92472,213,3,2,4,66,3,37797,0,1,2903907,25047,66,1057314,15761,69,384681,28130,66,49329,11357,43,0,0,0,1882,5885,2,21957,2352,2,1942,2280,1,4554,1660,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_17,attribute,3,0,fail,1,0,0,0,0,completed,halt_forced,1,928.6,151288,16533,32,2,1,3,2,7,17942,0,1,14293,483,2,103661,1684,9,3298,582,2,2236,406,2,0,0,0,1034,3250,1,21952,5585,2,1915,2370,1,2899,2173,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_17,attribute,2,0,,0,0,0,0,0,completed,halt_forced,1,2223.8,333232,18361,54,2,1,3,7,7,18986,0,1,90252,1560,7,169516,2791,14,32567,2116,7,3344,559,3,8803,551,7,1042,3561,1,21952,3588,2,1915,2232,1,3841,1403,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_18,attribute,2,0,fail,1,0,0,0,0,completed,halt_forced,1,753.9,154796,13125,33,3,1,3,2,7,17879,0,0,14526,517,2,105224,1571,9,3565,548,2,3369,129,3,0,0,0,1007,2975,1,21954,3258,2,1916,2428,1,3235,1699,1
hard-baseline,20260730_205702_context-ablation-hard-baseline,hard_18,attribute,1,0,fail,1,0,0,0,0,completed,halt_forced,1,975.7,261550,21790,42,3,1,3,5,7,19389,0,0,52215,1097,5,142713,2496,12,19313,1467,5,7766,1847,7,0,0,0,1083,3449,1,32932,6503,3,1916,2721,1,3612,2210,1
